"A1","A2","A3[001]","A3[002]","A3[003]","A3[004]","A3[005]","A3[006]","A3[007]","A3[008]","A3[009]","A3[other]","A4","A5","A6","A7","A8","A9","S10[SQ001]","S10[SQ002]","S11[SQ002]","S11[SQ003]","S11[SQ004]","S11[other]","S12","S13[SQ001]","S13[SQ002]","S13[SQ003]","TK14[SQ001]","TK14[SQ002]","TK14[SQ003]","TK14[SQ004]","TK14[SQ005]","TK14[SQ006]","TK14[SQ007]","TK14[SQ008]","TK14[SQ009]","TK14[other]","TK15[SQ002]","TK15[SQ003]","TK15[SQ004]","TK15[SQ005]","TK16","TK17","TK18","TK19[SQ001]","TK19[SQ002]","TK19[SQ003]","TK20","TK21[SQ002]","TK21[SQ003]","S22","S22[other]","S23","GE24[SQ001]","GE24[SQ002]","GE24[SQ003]","GE24[SQ004]","GE24[SQ005]","GE24[SQ006]","GE24[SQ007]"
"35 bis 44 Jahre","1 bis 3 Jahre","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","","Grossunternehmen (>250 Mitarbeitende)","Weniger als 5","Bei jeder Schätzung","Die Prozesse sind etabliert, aber nicht vollständig integriert. 🛈","Das Team entscheidet autonom und effizient. 🛈","Gelegentliche Abhängigkeit von externer Unterstützung. 🛈","Vor Ort","Vor Ort","Ja","Nein","Ja","","Relative Einheiten (bspw. Story Points)","Stimme zu","Stimme eher zu","Stimme zu","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Schnell (0-1 Diskussionsrunde)","Gelegentlich","Sehr wohl","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Ja, deutlich","Stimme zu","Stimme zu","Durch praktische Anwendung im Team (Learning-by-doing)","","Zwingend notwendig","Stimme eher zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu"
"25 bis 34 Jahre","1 bis 3 Jahre","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","","Mittleres Unternehmen (51 - 249 Mitarbeitende)","6 bis 10","Häufig (mehr als 50% der Schätzungen)","Die Prozesse sind etabliert, aber nicht vollständig integriert. 🛈","Entscheidungen werden überwiegend autonom getroffen. 🛈","Gelegentliche Abhängigkeit von externer Unterstützung. 🛈","Remote","Remote","Ja","Ja","Nein","","Absolute Einheiten (bspw. Personentage/-stunden)","Stimme eher zu","Stimme zu","Stimme zu","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Ja","Ja","","Stimme zu","Stimme eher zu","Stimme zu","Stimme zu","Durchschnittlich (2-3 Diskussionsrunden)","Oft","Sehr wohl","Stimme zu","Stimme zu","Stimme eher zu","Ja, deutlich","Stimme zu","Stimme zu","Durch praktische Anwendung im Team (Learning-by-doing)","","Empfehlenswert","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Stimme eher zu","Stimme eher zu"
"35 bis 44 Jahre","Über 10 Jahre","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","","Grossunternehmen (>250 Mitarbeitende)","11 bis 15","Bei jeder Schätzung","Die Prozesse sind etabliert und bekannt. 🛈","Entscheidungen werden überwiegend autonom getroffen. 🛈","Seltene Abhängigkeit von externer Unterstützung. 🛈","Vor Ort","Vor Ort","Ja","Nein","Ja","","Relative Einheiten (bspw. Story Points)","Stimme voll und ganz zu","Weder noch","Weder noch","Ja","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Ja","","Stimme eher zu","Stimme voll und ganz zu","Stimme zu","Stimme zu","Durchschnittlich (2-3 Diskussionsrunden)","Oft","Neutral","Stimme zu","Stimme zu","Stimme zu","Ja, etwas","Stimme zu","Stimme eher zu","Durch praktische Anwendung im Team (Learning-by-doing)","","Gar nicht notwendig","Stimme eher zu","Stimme zu","Stimme eher zu","Weder noch","Stimme eher zu","Stimme eher zu","Stimme eher zu"
"45 bis 54 Jahre","Über 10 Jahre","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Ja","","Mittleres Unternehmen (51 - 249 Mitarbeitende)","6 bis 10","Gelegentlich (weniger als 50% der Schätzungen)","Prozesse sind vorhanden, werden aber uneinheitlich angewendet. 🛈","Entscheidungen werden teilweise extern beeinflusst. 🛈","Gelegentliche Abhängigkeit von externer Unterstützung. 🛈","Remote","Vor Ort","Nein","Nein","Nein","Setting doesn't matter but there wasn't an N/A choice","Eine Kombination beider","Weder noch","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","","Stimme eher zu","Weder noch","Stimme eher zu","Stimme voll und ganz zu","Durchschnittlich (2-3 Diskussionsrunden)","Oft","Sehr wohl","Stimme zu","Stimme zu","Stimme zu","Ja, deutlich","Stimme voll und ganz zu","Stimme zu","Durch informelle Schulung innerhalb des Teams","","Neutral","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu"
"35 bis 44 Jahre","1 bis 3 Jahre","Nein","Nein","Ja","Nein","Nein","Nein","Ja","Nein","Nein","","Grossunternehmen (>250 Mitarbeitende)","11 bis 15","Häufig (mehr als 50% der Schätzungen)","Die Prozesse sind etabliert, aber nicht vollständig integriert. 🛈","Entscheidungen werden überwiegend autonom getroffen. 🛈","Gelegentliche Abhängigkeit von externer Unterstützung. 🛈","Vor Ort","Vor Ort","Nein","Nein","Ja","","Relative Einheiten (bspw. Story Points)","Stimme zu","Stimme kaum zu","Stimme eher zu","Ja","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Nein","","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Durchschnittlich (2-3 Diskussionsrunden)","Selten","Wohl","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Ja, deutlich","Weder noch","Weder noch","Durch praktische Anwendung im Team (Learning-by-doing)","","Empfehlenswert","Weder noch","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu"
"45 bis 54 Jahre","Über 10 Jahre","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","","Mittleres Unternehmen (51 - 249 Mitarbeitende)","6 bis 10","Nie","","","","","","N. v.","N. v.","N. v.","","","","","","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","","","","","","","","","","","","","","","","","","","","","","","",""
"45 bis 54 Jahre","Über 10 Jahre","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","","Grossunternehmen (>250 Mitarbeitende)","11 bis 15","Bei jeder Schätzung","Die Prozesse sind etabliert, aber nicht vollständig integriert. 🛈","Entscheidungen werden überwiegend autonom getroffen. 🛈","Häufige Abhängigkeit von externer Unterstützung. 🛈","Remote","Vor Ort","Nein","Nein","Ja","","Eine Kombination beider","Stimme voll und ganz zu","Weder noch","Weder noch","Ja","Ja","Nein","Nein","Nein","Nein","Nein","Ja","Ja","","Stimme eher zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Durchschnittlich (2-3 Diskussionsrunden)","Gelegentlich","Wohl","Weder noch","Stimme eher zu","Stimme zu","Ja, deutlich","Stimme voll und ganz zu","Stimme zu","Sonstiges","durch frühere Erfahrung und Schulungen","Neutral","Stimme zu","Stimme zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu"
"35 bis 44 Jahre","1 bis 3 Jahre","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","","Grossunternehmen (>250 Mitarbeitende)","11 bis 15","Häufig (mehr als 50% der Schätzungen)","Die Prozesse sind etabliert, aber nicht vollständig integriert. 🛈","Entscheidungen werden überwiegend autonom getroffen. 🛈","Seltene Abhängigkeit von externer Unterstützung. 🛈","Vor Ort","Vor Ort","Ja","Nein","Ja","physische Karten","Absolute Einheiten (bspw. Personentage/-stunden)","Stimme eher zu","Stimme eher zu","Stimme eher zu","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","","Stimme eher zu","Stimme eher zu","Stimme zu","Stimme voll und ganz zu","Durchschnittlich (2-3 Diskussionsrunden)","Gelegentlich","Neutral","Stimme kaum zu","Stimme eher zu","Stimme zu","Ja, deutlich","Stimme zu","Stimme zu","Durch informelle Schulung innerhalb des Teams","","Empfehlenswert","Weder noch","Stimme zu","Stimme eher zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu"
"25 bis 34 Jahre","4 bis 6 Jahre","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","","Grossunternehmen (>250 Mitarbeitende)","6 bis 10","Bei jeder Schätzung","Die Prozesse sind etabliert, aber nicht vollständig integriert. 🛈","Entscheidungen werden zunehmend intern getroffen. 🛈","Häufige Abhängigkeit von externer Unterstützung. 🛈","Vor Ort","Vor Ort","Nein","Nein","Ja","Meinungen werden offener kommuniziert, wenn vor Ort","Relative Einheiten (bspw. Story Points)","Stimme voll und ganz zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","","Stimme eher zu","Stimme voll und ganz zu","Stimme zu","Stimme voll und ganz zu","Durchschnittlich (2-3 Diskussionsrunden)","Gelegentlich","Wohl","Stimme eher zu","Stimme zu","Stimme zu","Ja, deutlich","Stimme eher zu","Stimme eher zu","Durch praktische Anwendung im Team (Learning-by-doing)","","Empfehlenswert","Stimme eher zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu"
"25 bis 34 Jahre","1 bis 3 Jahre","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","","Grossunternehmen (>250 Mitarbeitende)","6 bis 10","Bei jeder Schätzung","Die Prozesse sind etabliert und bekannt. 🛈","Entscheidungen werden überwiegend autonom getroffen. 🛈","Seltene Abhängigkeit von externer Unterstützung. 🛈","Hybrid (Teile des Teams Remote und vor Ort)","Remote","Ja","Ja","Ja","","Relative Einheiten (bspw. Story Points)","Stimme zu","Stimme eher zu","Stimme eher zu","Ja","Ja","Nein","Ja","Nein","Nein","Nein","Ja","Ja","","Stimme zu","Stimme zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Schnell (0-1 Diskussionsrunde)","Selten","Wohl","Stimme eher zu","Stimme zu","Stimme zu","Ja, deutlich","Stimme zu","Stimme zu","Durch praktische Anwendung im Team (Learning-by-doing)","","Empfehlenswert","Stimme zu","Stimme voll und ganz zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Stimme voll und ganz zu"
"35 bis 44 Jahre","4 bis 6 Jahre","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","","Grossunternehmen (>250 Mitarbeitende)","6 bis 10","Bei jeder Schätzung","Die Prozesse sind etabliert, aber nicht vollständig integriert. 🛈","Entscheidungen werden überwiegend autonom getroffen. 🛈","Gelegentliche Abhängigkeit von externer Unterstützung. 🛈","Hybrid (Teile des Teams Remote und vor Ort)","Hybrid (Teile des Teams Remote und vor Ort)","Ja","Ja","Ja","","Relative Einheiten (bspw. Story Points)","Stimme voll und ganz zu","Stimme zu","Stimme zu","Ja","Ja","Nein","Ja","Ja","Nein","Nein","Ja","Ja","","Stimme zu","Stimme zu","Stimme voll und ganz zu","Stimme zu","Schnell (0-1 Diskussionsrunde)","Gelegentlich","Wohl","Stimme zu","Stimme voll und ganz zu","Stimme zu","Ja, deutlich","Stimme eher zu","Stimme eher zu","Durch informelle Schulung innerhalb des Teams","","Zwingend notwendig","Stimme zu","Stimme voll und ganz zu","Stimme zu","Stimme zu","Stimme zu","Stimme voll und ganz zu","Stimme voll und ganz zu"
"45 bis 54 Jahre","7 bis 10 Jahre","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","UX Designer","Grossunternehmen (>250 Mitarbeitende)","6 bis 10","Bei jeder Schätzung","Die Prozesse sind etabliert, aber nicht vollständig integriert. 🛈","Entscheidungen werden überwiegend autonom getroffen. 🛈","Gelegentliche Abhängigkeit von externer Unterstützung. 🛈","Remote","Remote","Ja","Nein","Nein","Distributed Team","Absolute Einheiten (bspw. Personentage/-stunden)","Stimme voll und ganz zu","Stimme kaum zu","Stimme eher zu","Ja","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Ja","","Stimme eher zu","Stimme zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Durchschnittlich (2-3 Diskussionsrunden)","Sehr oft","Wohl","Stimme zu","Stimme zu","Stimme zu","Ja, deutlich","Stimme eher zu","Stimme zu","Durch informelle Schulung innerhalb des Teams","","Zwingend notwendig","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme zu","Stimme eher nicht zu","Stimme voll und ganz zu","Stimme voll und ganz zu"
"25 bis 34 Jahre","1 bis 3 Jahre","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","","Grossunternehmen (>250 Mitarbeitende)","6 bis 10","Häufig (mehr als 50% der Schätzungen)","Die Prozesse sind etabliert, aber nicht vollständig integriert. 🛈","Entscheidungen werden überwiegend autonom getroffen. 🛈","Gelegentliche Abhängigkeit von externer Unterstützung. 🛈","Remote","Remote","Nein","Nein","Ja","Unklarheiten klären","Eine Kombination beider","Stimme zu","Stimme kaum zu","Stimme eher zu","Ja","Ja","Ja","Ja","Ja","Nein","Nein","Ja","Ja","","Stimme eher zu","Stimme eher zu","Stimme zu","Stimme voll und ganz zu","Schnell (0-1 Diskussionsrunde)","Selten","Wohl","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Ja, etwas","Stimme eher zu","Stimme eher nicht zu","Sonstiges","Selbstinformation","Empfehlenswert","Weder noch","Stimme eher zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu"
"45 bis 54 Jahre","7 bis 10 Jahre","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Nein","","Grossunternehmen (>250 Mitarbeitende)","11 bis 15","Häufig (mehr als 50% der Schätzungen)","Prozesse sind vorhanden, werden aber uneinheitlich angewendet. 🛈","Entscheidungen werden zunehmend intern getroffen. 🛈","Gelegentliche Abhängigkeit von externer Unterstützung. 🛈","Remote","Vor Ort","Nein","Nein","Ja","","Eine Kombination beider","Stimme zu","Stimme eher nicht zu","Weder noch","Ja","Ja","Nein","Nein","Nein","Nein","Nein","Ja","Ja","","Stimme eher nicht zu","Stimme zu","Stimme eher zu","Stimme voll und ganz zu","Durchschnittlich (2-3 Diskussionsrunden)","Sehr oft","Wohl","Stimme eher nicht zu","Stimme zu","Stimme eher zu","Ja, etwas","Stimme zu","Stimme voll und ganz zu","Durch praktische Anwendung im Team (Learning-by-doing)","","Empfehlenswert","Stimme kaum zu","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme eher zu","Stimme zu","Stimme zu","Stimme zu"
"25 bis 34 Jahre","7 bis 10 Jahre","Ja","Ja","Nein","Ja","Ja","Nein","Nein","Nein","Nein","","Grossunternehmen (>250 Mitarbeitende)","6 bis 10","Bei jeder Schätzung","Die Prozesse sind etabliert und bekannt. 🛈","Das Team entscheidet autonom und effizient. 🛈","Gelegentliche Abhängigkeit von externer Unterstützung. 🛈","Remote","Remote","Nein","Ja","Nein","","Relative Einheiten (bspw. Story Points)","Stimme voll und ganz zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","Stimme zu","Stimme zu","Stimme zu","Stimme voll und ganz zu","Schnell (0-1 Diskussionsrunde)","Selten","Wohl","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Ja, deutlich","Stimme zu","Stimme zu","Durch praktische Anwendung im Team (Learning-by-doing)","","Neutral","Stimme eher zu","Stimme zu","Stimme voll und ganz zu","Stimme zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu"
"35 bis 44 Jahre","Über 10 Jahre","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Agile Coach","Grossunternehmen (>250 Mitarbeitende)","Mehr als 15","Bei jeder Schätzung","Die Prozesse sind etabliert, aber nicht vollständig integriert. 🛈","Entscheidungen werden zunehmend intern getroffen. 🛈","Seltene Abhängigkeit von externer Unterstützung. 🛈","Hybrid (Teile des Teams Remote und vor Ort)","Hybrid (Teile des Teams Remote und vor Ort)","Nein","Nein","Nein","Transparency","Relative Einheiten (bspw. Story Points)","Stimme eher zu","Stimme zu","Stimme eher nicht zu","Ja","Ja","Nein","Nein","Nein","Nein","Nein","Ja","Nein","","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Schnell (0-1 Diskussionsrunde)","Selten","Wohl","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Ja, deutlich","Stimme voll und ganz zu","Stimme voll und ganz zu","Durch praktische Anwendung im Team (Learning-by-doing)","","Empfehlenswert","Stimme zu","Stimme voll und ganz zu","Stimme zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu"
"25 bis 34 Jahre","4 bis 6 Jahre","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","Mittleres Unternehmen (51 - 249 Mitarbeitende)","6 bis 10","Häufig (mehr als 50% der Schätzungen)","Die Prozesse sind teilweise vorhanden, aber unklar. 🛈","Entscheidungen werden zunehmend intern getroffen. 🛈","Seltene Abhängigkeit von externer Unterstützung. 🛈","Remote","Remote","Ja","Ja","Nein","","Relative Einheiten (bspw. Story Points)","Stimme eher zu","Stimme eher nicht zu","Stimme eher nicht zu","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","","Weder noch","Stimme zu","Stimme zu","Stimme zu","Schnell (0-1 Diskussionsrunde)","Selten","Neutral","Stimme zu","Stimme zu","Stimme zu","Nein, kaum","Stimme zu","Weder noch","Durch formelle Schulung innerhalb des Unternehmens","","Nicht empfehlenswert","Stimme eher nicht zu","Stimme kaum zu","Stimme kaum zu","Stimme eher nicht zu","Stimme kaum zu","Stimme kaum zu","Stimme kaum zu"
"35 bis 44 Jahre","4 bis 6 Jahre","Nein","Nein","Nein","Ja","Ja","Nein","Nein","Nein","Nein","","Grossunternehmen (>250 Mitarbeitende)","6 bis 10","Bei jeder Schätzung","Prozesse sind vorhanden, werden aber uneinheitlich angewendet. 🛈","Entscheidungen werden zunehmend intern getroffen. 🛈","Häufige Abhängigkeit von externer Unterstützung. 🛈","Remote","Hybrid (Teile des Teams Remote und vor Ort)","Ja","Ja","Ja","","Relative Einheiten (bspw. Story Points)","Stimme voll und ganz zu","Stimme zu","Stimme eher zu","Ja","Ja","Nein","Ja","Nein","Nein","Nein","Ja","Nein","","Weder noch","Stimme zu","Stimme zu","Stimme voll und ganz zu","Durchschnittlich (2-3 Diskussionsrunden)","Gelegentlich","Wohl","Stimme zu","Stimme zu","Stimme voll und ganz zu","Ja, deutlich","Stimme zu","Stimme zu","Durch praktische Anwendung im Team (Learning-by-doing)","","Neutral","Weder noch","Stimme eher zu","Stimme zu","Stimme voll und ganz zu","Stimme zu","Stimme voll und ganz zu","Stimme voll und ganz zu"
"25 bis 34 Jahre","Über 10 Jahre","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Ja","","Grossunternehmen (>250 Mitarbeitende)","6 bis 10","Nie","","","","","","N. v.","N. v.","N. v.","","","","","","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","","","","","","","","","","","","","","","","","","","","","","","",""
"25 bis 34 Jahre","1 bis 3 Jahre","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Nein","","Grossunternehmen (>250 Mitarbeitende)","11 bis 15","Bei jeder Schätzung","Die Prozesse sind etabliert und bekannt. 🛈","Entscheidungen werden überwiegend autonom getroffen. 🛈","Seltene Abhängigkeit von externer Unterstützung. 🛈","Hybrid (Teile des Teams Remote und vor Ort)","Hybrid (Teile des Teams Remote und vor Ort)","Nein","Ja","Nein","","Absolute Einheiten (bspw. Personentage/-stunden)","Stimme zu","Stimme eher zu","Stimme eher zu","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","Stimme eher zu","Stimme zu","Stimme zu","Stimme zu","Schnell (0-1 Diskussionsrunde)","Selten","Sehr wohl","Stimme eher zu","Stimme zu","Stimme zu","Ja, etwas","Stimme eher zu","Weder noch","Durch praktische Anwendung im Team (Learning-by-doing)","","Gar nicht notwendig","Stimme eher zu","Stimme zu","Stimme eher zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu"
"Über 54 Jahre","Über 10 Jahre","Ja","Nein","Nein","Nein","Ja","Ja","Ja","Nein","Nein","","Grossunternehmen (>250 Mitarbeitende)","6 bis 10","Bei jeder Schätzung","Prozesse sind vorhanden, werden aber uneinheitlich angewendet. 🛈","Entscheidungen werden zunehmend intern getroffen. 🛈","Gelegentliche Abhängigkeit von externer Unterstützung. 🛈","Hybrid (Teile des Teams Remote und vor Ort)","Vor Ort","Nein","Nein","Ja","","Relative Einheiten (bspw. Story Points)","Stimme voll und ganz zu","Weder noch","Weder noch","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","","Stimme eher zu","Stimme zu","Stimme zu","Stimme voll und ganz zu","Durchschnittlich (2-3 Diskussionsrunden)","Selten","Sehr wohl","Stimme zu","Stimme zu","Stimme zu","Ja, deutlich","Stimme zu","Stimme zu","Durch informelle Schulung innerhalb des Teams","","Empfehlenswert","Stimme eher zu","Stimme voll und ganz zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu"
"25 bis 34 Jahre","1 bis 3 Jahre","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","","Grossunternehmen (>250 Mitarbeitende)","11 bis 15","Bei jeder Schätzung","Prozesse sind vorhanden, werden aber uneinheitlich angewendet. 🛈","Entscheidungen werden zunehmend intern getroffen. 🛈","Gelegentliche Abhängigkeit von externer Unterstützung. 🛈","Hybrid (Teile des Teams Remote und vor Ort)","Hybrid (Teile des Teams Remote und vor Ort)","Nein","Ja","Nein","","Relative Einheiten (bspw. Story Points)","Stimme voll und ganz zu","Stimme kaum zu","Stimme kaum zu","Ja","Ja","Nein","Nein","Nein","Nein","Nein","Ja","Ja","","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Durchschnittlich (2-3 Diskussionsrunden)","Gelegentlich","Neutral","Stimme eher zu","Stimme eher zu","Stimme eher zu","Ja, etwas","Stimme eher zu","Stimme zu","Durch praktische Anwendung im Team (Learning-by-doing)","","Neutral","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Stimme zu","Stimme eher zu","Stimme eher zu","Stimme eher zu"
"Über 54 Jahre","7 bis 10 Jahre","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Ja","","Grossunternehmen (>250 Mitarbeitende)","6 bis 10","Häufig (mehr als 50% der Schätzungen)","Die Prozesse sind etabliert und bekannt. 🛈","Entscheidungen werden überwiegend autonom getroffen. 🛈","Gelegentliche Abhängigkeit von externer Unterstützung. 🛈","Hybrid (Teile des Teams Remote und vor Ort)","Remote","Nein","Nein","Ja","Diversität","Relative Einheiten (bspw. Story Points)","Stimme kaum zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Ja","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","Stimme zu","Stimme zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Schnell (0-1 Diskussionsrunde)","Nie","Wohl","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Ja, deutlich","Stimme voll und ganz zu","Stimme voll und ganz zu","Durch praktische Anwendung im Team (Learning-by-doing)","","Empfehlenswert","Weder noch","Stimme eher zu","Stimme zu","Stimme zu","Stimme voll und ganz zu","Stimme zu","Stimme zu"
"35 bis 44 Jahre","Über 10 Jahre","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Agile Coach","Grossunternehmen (>250 Mitarbeitende)","6 bis 10","Selten (nur in speziellen Fällen)","Die Prozesse sind etabliert und bekannt. 🛈","Das Team entscheidet autonom und effizient. 🛈","Häufige Abhängigkeit von externer Unterstützung. 🛈","Hybrid (Teile des Teams Remote und vor Ort)","Vor Ort","Nein","Nein","Ja","","Relative Einheiten (bspw. Story Points)","Stimme voll und ganz zu","Stimme kaum zu","Stimme kaum zu","Ja","Ja","Nein","Nein","Nein","Nein","Nein","Ja","Ja","","Stimme eher zu","Stimme voll und ganz zu","Stimme zu","Stimme zu","Durchschnittlich (2-3 Diskussionsrunden)","Gelegentlich","Sehr unwohl","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Ja, etwas","Stimme eher zu","Stimme eher nicht zu","Sonstiges","Erst theoretisch gelernt das praktisch angewand","Neutral","Stimme eher zu","Stimme kaum zu","Stimme kaum zu","Stimme zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu"
"25 bis 34 Jahre","7 bis 10 Jahre","Nein","Nein","Nein","Ja","Ja","Nein","Nein","Nein","Nein","","Kleines Unternehmen (< 50 Mitarbeitende)","6 bis 10","Nie","","","","","","N. v.","N. v.","N. v.","","","","","","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","","","","","","","","","","","","","","","","","","","","","","","",""
"35 bis 44 Jahre","1 bis 3 Jahre","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","Nein","","Mittleres Unternehmen (51 - 249 Mitarbeitende)","6 bis 10","Bei jeder Schätzung","Die Prozesse sind etabliert und bekannt. 🛈","Das Team entscheidet autonom und effizient. 🛈","Vollständig autonom. 🛈","Hybrid (Teile des Teams Remote und vor Ort)","Vor Ort","Ja","Ja","Ja","","Eine Kombination beider","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme zu","Ja","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Durchschnittlich (2-3 Diskussionsrunden)","Selten","Sehr wohl","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Ja, deutlich","Stimme voll und ganz zu","Stimme voll und ganz zu","Durch formelle Schulung innerhalb des Unternehmens","","Zwingend notwendig","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu"
